End of program
         22954360 function calls in 19.007 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.007   19.007 <string>:1(<module>)
        1    3.894    3.894   19.007   19.007 permut_pscalar1.py:1(<module>)
 11473176    5.827    0.000   14.874    0.000 permut_pscalar1.py:7(dot_product)
        1    0.001    0.001   19.007   19.007 {execfile}
     2000    0.000    0.000    0.000    0.000 {len}
     1000    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2000    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     2000    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'writelines' of 'file' objects}
     1000    0.236    0.000    0.236    0.000 {min}
        2    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {range}
 11473176    9.047    0.000    9.047    0.000 {sum}


